# %ECSV 0.9
# ---
# datatype:
# - { name : Index,  datatype : float32, description : photon index }
# - { name : 1GeV_norm, unit : GeV-1 cm-2 s-1, datatype : float32, description : Energy }
# meta : !!omap
# - { RA :  }
# - { DEC :  }
# - { ROI :  }
# schema : astropy −2.0 

Index 1GeV_norm
2.02 2.96752e-08
2.04 2.96752e-08
2.06 2.96752e-08
2.08 2.96752e-08
2.1 8.98207e-08
2.12 8.98207e-08
2.14 8.98207e-08
2.16 8.98207e-08
2.18 8.98207e-08
2.2 2.60094e-07
2.22 2.60094e-07
2.24 2.60094e-07
2.26 2.60094e-07
2.28 2.60094e-07
2.3 7.21426e-07
2.32 7.21426e-07
2.34 7.21426e-07
2.36 7.21426e-07
2.38 7.21426e-07
2.4 1.91879e-06
2.42 1.91879e-06
2.44 1.91879e-06
2.46 1.91879e-06
2.48 1.91879e-06
2.5 4.89863e-06
2.52 4.89863e-06
2.54 4.89863e-06
2.56 4.89863e-06
2.58 4.89863e-06
2.6 1.20166e-05
2.62 1.20166e-05
2.64 1.20166e-05
2.66 1.20166e-05
2.68 1.20166e-05
2.7 2.83574e-05
2.72 2.83574e-05
2.74 2.83574e-05
2.76 2.83574e-05
2.78 2.83574e-05
2.8 6.44704e-05
2.82 6.44704e-05
2.84 6.44704e-05
2.86 6.44704e-05
2.88 6.44704e-05
2.9 0.000141455
2.92 0.000141455
2.94 0.000141455
2.96 0.000141455
2.98 0.000141455
3 0.000300138
