# %ECSV 0.9
# ---
# datatype:
# - { name : Index,  datatype : float32, description : photon index }
# - { name : 1GeV_norm, unit : GeV-1 cm-2 s-1, datatype : float32, description : Energy }
# meta : !!omap
# - { RA :  }
# - { DEC :  }
# - { ROI :  }
# schema : astropy −2.0 

Index 1GeV_norm
1.52 5.71251e-11
1.54 5.71251e-11
1.56 5.71251e-11
1.58 5.71251e-11
1.6 2.20413e-10
1.62 2.20413e-10
1.64 2.20413e-10
1.66 2.20413e-10
1.68 2.20413e-10
1.7 8.08349e-10
1.72 8.08349e-10
1.74 8.08349e-10
1.76 8.08349e-10
1.78 8.08349e-10
1.8 2.81961e-09
1.82 2.81961e-09
1.84 2.81961e-09
1.86 2.81961e-09
1.88 2.81961e-09
1.9 9.36613e-09
1.92 9.36613e-09
1.94 9.36613e-09
1.96 9.36613e-09
1.98 9.36613e-09
2 2.96752e-08
2.02 2.96752e-08
2.04 2.96752e-08
2.06 2.96752e-08
2.08 2.96752e-08
2.1 8.98207e-08
2.12 8.98207e-08
2.14 8.98207e-08
2.16 8.98207e-08
2.18 8.98207e-08
2.2 2.60094e-07
2.22 2.60094e-07
2.24 2.60094e-07
2.26 2.60094e-07
2.28 2.60094e-07
2.3 7.21426e-07
2.32 7.21426e-07
2.34 7.21426e-07
2.36 7.21426e-07
2.38 7.21426e-07
2.4 1.91879e-06
2.42 1.91879e-06
2.44 1.91879e-06
2.46 1.91879e-06
2.48 1.91879e-06
2.5 4.89863e-06
