# %ECSV 0.9
# ---
# datatype:
# - { name : Index,  datatype : float32, description : photon index }
# - { name : 1GeV_norm, unit : GeV-1 cm-2 s-1, datatype : float32, description : Energy }
# meta : !!omap
# - { RA :  }
# - { DEC :  }
# - { ROI :  }
# schema : astropy −2.0 

Index 1GeV_norm
2.01 2.96752e-08
2.02 2.96752e-08
2.03 2.96752e-08
2.04 2.96752e-08
2.05 2.96752e-08
2.06 2.96752e-08
2.07 2.96752e-08
2.08 2.96752e-08
2.09 2.96752e-08
2.1 8.98207e-08
2.11 8.98207e-08
2.12 8.98207e-08
2.13 8.98207e-08
2.14 8.98207e-08
2.15 8.98207e-08
2.16 8.98207e-08
2.17 8.98207e-08
2.18 8.98207e-08
2.19 8.98207e-08
2.2 2.60094e-07
2.21 2.60094e-07
2.22 2.60094e-07
2.23 2.60094e-07
2.24 2.60094e-07
2.25 2.60094e-07
2.26 2.60094e-07
2.27 2.60094e-07
2.28 2.60094e-07
2.29 2.60094e-07
2.3 7.21426e-07
2.31 7.21426e-07
2.32 7.21426e-07
2.33 7.21426e-07
2.34 7.21426e-07
2.35 7.21426e-07
2.36 7.21426e-07
2.37 7.21426e-07
2.38 7.21426e-07
2.39 7.21426e-07
2.4 1.91879e-06
2.41 1.91879e-06
2.42 1.91879e-06
2.43 1.91879e-06
2.44 1.91879e-06
2.45 1.91879e-06
2.46 1.91879e-06
2.47 1.91879e-06
2.48 1.91879e-06
2.49 1.91879e-06
2.5 4.89863e-06
